,1st Term Funding,2nd Term Funding,3rd Term Funding,4th Term Funding,Start age,College,Current Age,Degree,Gender,Grad Funding Indicator,ID,Citizenship,Major ID,Major,Net Cost After Any Funding,Program,Prep Level,Total Charges,Total Funding Amount,Y,PC1,PC2,PC3,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,Gap,Slope,Valid term,Average,Academic Period (Years)
11,3699,3699,432,432,23,GD Harpur,29,Doctor of Philosophy,Male,1,11,White,C49,Physics,64128.01,Harpur Doctor of Philosophy,Bachelors Prepared,75570.01,11442,1,3.322886587,1.992350347,-0.039659965,3.7,3.7,0,0,0,0,0,0,0,0,2,3.7,5
12,8325,8325,925,925,23,GD Harpur,29,Doctor of Philosophy,Female,1,12,China,C34,Mathematics,7205.98,Harpur Doctor of Philosophy,Masters Prepared,27555.98,20350,1,-3.029924468,2.282060644,0.039665851,3.8,4,3.97,4,4,4,0,0,0,0.03,6,3.96,4.4
13,432,432,453,453,22,GD Watson,29,Doctor of Philosophy,Male,1,13,White,R92,Computer Science,3357.92,Computer Science PhD,0,6033.92,2676,1,0.108993187,-0.667596032,0.256856114,4,4,4,4,0,0,0,0,0,0,4,4,6.4
14,0,0,3141,3141,22,GD Harpur,33,Doctor of Philosophy,Female,1,14,White,C45,Behavioral Neuroscience,24895.58,Harpur Doctor of Philosophy,Bachelors Prepared,45721.58,20826,1,0.079580753,-1.554411917,-0.256456652,3.38,3.64,3.7,3.93,3.5,4,0,0,0,0.08,6,3.69,5.4
15,0,0,0,4968,23.7,GD Watson,35,Doctor of Philosophy,Male,1,15,Africa,R98,Mechanical Engineering,19598.5,Mechanical Engineering PhD,0,25692.5,6094,1,0.079580753,-1.554411917,-0.256456652,0,0,0,0,0,0,0,0,0,0,0,0,2.2
16,4968,4968,3141,3141,31,GD Harpur,42,Doctor of Philosophy,Female,1,16,Unknown,C33,Comparative Literature,22524.84,Harpur Doctor of Philosophy,Masters Prepared,47109.84,24585,1,-2.989093248,1.384587951,-0.438290907,4,3.87,3.92,3.87,4,0,0,0,0,0,5,3.93,8.4
17,0,0,0,4968,29.7,GD Watson,41,Doctor of Philosophy,Male,1,17,Asia,R87,Industrial and Systems Enginee,23116.85,Industrial and Systems Eng PhD,0,35464.85,12348,1,0.079580753,-1.554411917,-0.256456652,3.9,4,4,3.7,0,0,0,0,0,-0.06,4,3.9,3.7
18,0,0,0,0,27,GD Watson,38,Doctor of Philosophy,Male,1,18,India,R96,Electrical Engineering,31458.6,Electrical Engineering PhD,0,44048.6,12590,1,0.079580753,-1.554411917,-0.256456652,4,4,0,0,0,0,0,0,0,0,2,4,4.4
19,0,0,0,4968,30.3,GD Harpur,42,Doctor of Philosophy,Female,1,19,Asia,C60,Translation Studies,26123.65,Harpur Doctor of Philosophy,Bachelors Prepared,41225.65,15102,1,0.079580753,-1.554411917,-0.256456652,3.32,3.65,3.87,0,0,0,0,0,0,0.28,3,3.61,5
20,4185,4185,4435,4435,41.3,GD Education,51,Doctor of Education,Female,1,20,White,E99,Educational Theory and Practic,4846.78,Education EDD,0,27672.78,22826,1,0.079580753,-1.554411917,-0.256456652,4,3.9,4,4,4,0,0,0,0,0.01,5,3.98,5.6
21,0,0,0,0,28,GD Harpur,40,Doctor of Philosophy,Female,0,21,Europe,C60,Translation Studies,27119.3,Harpur Doctor of Philosophy,Masters Prepared,27119.3,0,1,0.079580753,-1.554411917,-0.256456652,4,4,0,0,0,0,0,0,0,0,2,4,4.4
22,5166,6890,5688,5688,39.7,GD Harpur,51,Doctor of Philosophy,Female,1,22,Asia,C38,Philosophy Interpretation and,17482.13,Harpur Doctor of Philosophy,Masters Prepared,48521.13,31039,1,0.107861939,-0.701704335,0.237113315,4,3.81,3.87,3.85,4,0,0,0,1,0,5,3.91,9.7
23,0,0,3141,3141,33,GD Harpur,44,Doctor of Philosophy,Male,1,23,White,C13,Biological Sciences,12541.64,Harpur Doctor of Philosophy,Bachelors Prepared,25845.64,13304,1,0.079580753,-1.554411917,-0.256456652,4,4,3.33,4,0,0,0,0,0,-0.07,4,3.83,5
24,0,0,0,4968,24.3,GD Watson,36,Doctor of Philosophy,Male,1,24,Europe,R93,Systems Science,17924.85,Systems Science PhD,0,22892.85,4968,1,0.079580753,-1.554411917,-0.256456652,0,0,0,0,0,0,0,0,0,0,0,0,1.6
25,0,0,0,4968,30.7,GD Watson,42,Doctor of Philosophy,Male,1,25,China,R87,Industrial and Systems Enginee,27509.74,Industrial and Systems Eng PhD,0,38593.74,11084,1,0.079580753,-1.554411917,-0.256456652,3.9,3.85,4,0,0,0,0,0,0,0.05,3,3.92,4.2
26,0,0,4968,4968,22,GD Harpur,33,Doctor of Philosophy,Female,1,26,India,C13,Biological Sciences,18410.49,Harpur Doctor of Philosophy,Masters Prepared,32148.49,13738,1,0.079580753,-1.554411917,-0.256456652,3.69,3.67,4,4,0,0,0,0,0,0.13,4,3.84,4.4
27,0,0,0,0,28.3,GD Harpur,35,Doctor of Philosophy,Male,0,27,White,C23,English,33428.87,Harpur Doctor of Philosophy,Masters Prepared,33428.87,0,1,-1.93878083,1.247187346,0.109104273,0,0,0,0,0,0,0,0,0,0,0,0,2.6
28,0,0,0,0,30.3,GD Harpur,42,Doctor of Philosophy,Male,0,28,Hispanic or Latino,C60,Translation Studies,4709.65,Harpur Doctor of Philosophy,Masters Prepared,4709.65,0,1,0.079580753,-1.554411917,-0.256456652,0,0,0,0,0,0,0,0,0,0,0,0,2.3
29,4968,6072,5166,5683.2,24,GD Grad School,34,Doctor of Philosophy,Male,1,29,India,H21,Materials Science and Engineer,16701.22,Graduate School PhD,0,47720.42,31019.2,1,0.105976527,-0.758551507,0.204208651,3.5,3.53,4,0,0,0,0,0,0,0.25,3,3.68,6
30,0,0,3141,0,22,GD Harpur,33,Doctor of Philosophy,Female,1,30,White,C33,Comparative Literature,135358.84,Harpur Doctor of Philosophy,Bachelors Prepared,151441.84,16083,1,0.079580753,-1.554411917,-0.256456652,3.67,3.67,3.56,3.67,3.22,4,4,0,1,0.05,7,3.68,9
31,0,0,0,0,24.7,GD Watson,36,Doctor of Philosophy,Male,0,31,White,R96,Electrical Engineering,24079.95,Electrical Engineering PhD,0,24079.95,0,1,0.079580753,-1.554411917,-0.256456652,4,4,3.65,4,4,4,4,0,0,0.01,7,3.95,3.7
32,0,0,0,4968,23.3,GD Harpur,35,Doctor of Philosophy,Female,1,32,India,C13,Biological Sciences,27135.39,Harpur Doctor of Philosophy,Bachelors Prepared,39483.39,12348,1,0.079580753,-1.554411917,-0.256456652,2.44,3.08,3.3,3.93,3.93,0,0,0,0,0.38,5,3.34,5
33,4968,4968,5166,5166,26,GD Watson,36,Doctor of Philosophy,Male,1,33,India,R91,Biomedical Engineering,12037.93,Bioengineering PhD,0,52161.93,40124,1,0.079580753,-1.554411917,-0.256456652,4,4,4,4,4,4,0,0,1,0,6,4,4.4
34,0,0,4968,4968,29,GD Harpur,40,Doctor of Philosophy,Female,1,34,South America,C29,History,22748.49,Harpur Doctor of Philosophy,Masters Prepared,35096.49,12348,1,0.079580753,-1.554411917,-0.256456652,4,3.87,3.76,0,0,0,0,0,0,-0.12,3,3.88,5.4
35,4185,4185,3141,3330,28.3,GD Harpur,38,Doctor of Philosophy,Male,1,35,White,C49,Physics,5061.93,Harpur Doctor of Philosophy,Bachelors Prepared,24012.93,18951,1,-2.702644281,1.90443061,0.024063395,3.8,4,4,4,4,0,0,0,0,0.04,5,3.96,4.3
36,0,0,0,4968,27.3,GD Harpur,39,Doctor of Philosophy,Female,1,36,Africa,C15,Chemistry,30722.09,Harpur Doctor of Philosophy,Bachelors Prepared,44460.09,13738,1,0.079580753,-1.554411917,-0.256456652,3.3,3.85,3.94,3.3,0,0,0,0,0,0.01,4,3.6,6
37,0,0,0,0,33,GD Education,44,Doctor of Education,Female,0,37,White,E99,Educational Theory and Practic,24589.7,Education EDD,0,24589.7,0,1,0.103864865,-0.82222034,0.167355427,3.7,4,3.7,4,3.85,3.65,3.85,0,1,0,7,3.82,5
38,0,0,0,0,29.7,GD Harpur,41,Doctor of Philosophy,Female,0,38,White,C23,English,38765.05,Harpur Doctor of Philosophy,Masters Prepared,38765.05,0,1,0.079580753,-1.554411917,-0.256456652,4,4,4,4,4,0,0,0,0,0,5,4,4.7
39,4968,5166,5166,632,23.7,GD Watson,34,Doctor of Philosophy,Male,1,39,India,R87,Industrial and Systems Enginee,7434,Industrial and Systems Eng PhD,0,23998,16564,1,0.079580753,-1.554411917,-0.256456652,0,0,0,0,0,0,0,0,0,0,0,0,3.2
40,7580,7580,8340,6880.5,27,GD Management,35,Doctor of Philosophy,Male,1,40,China,B99,Management PHD,10737.84,Management PhD,0,50450.34,39712.5,1,0.105448611,-0.774468715,0.194995345,3.9,4,3.91,4,0,0,0,0,0,0.02,4,3.95,3.8
41,0,0,3350.4,3350.4,22,GD Harpur,33,Doctor of Philosophy,Female,1,41,White,C13,Biological Sciences,13575.7,Harpur Doctor of Philosophy,Bachelors Prepared,24506.5,10930.8,1,0.106278193,-0.749455959,0.209473397,3.91,4,4,4,0,0,0,0,0,0.03,4,3.98,5
42,0,0,632,632,22,GD Watson,33,Doctor of Philosophy,Male,1,42,Unknown,R92,Computer Science,12649.24,Computer Science PhD,0,16833.24,4184,1,0.079580753,-1.554411917,-0.256456652,4,3.9,4,4,0,0,0,0,0,0.01,4,3.98,6.8
43,0,0,4185,3141,27,GD Harpur,38,Doctor of Philosophy,Female,1,43,White,C38,Philosophy Interpretation and,17888.23,Harpur Doctor of Philosophy,Masters Prepared,29484.23,11596,1,0.109370269,-0.656226597,0.263437047,4,4,4,4,0,0,0,0,0,0,4,4,5.4
44,0,0,3490,3490,37,GD Harpur,48,Doctor of Philosophy,Male,1,44,White,C29,History,12797.13,Harpur Doctor of Philosophy,Masters Prepared,27579.13,14782,1,0.106806108,-0.733538751,0.218686703,3.85,3.67,4,4,4,0,0,0,0,0.06,5,3.9,6
45,0,0,3141,3141,38,GD Harpur,49,Doctor of Philosophy,Male,1,45,White,C01,Anthropology,117487.1,Harpur Doctor of Philosophy,Bachelors Prepared,137533.1,20046,1,0.109747352,-0.644857163,0.27001798,3.9,3.8,4,4,4,4,0,0,0,0.03,6,3.95,6.4
46,0,0,4968,4968,24,GD Harpur,35,Doctor of Philosophy,Female,1,46,China,C01,Anthropology,36852,Harpur Doctor of Philosophy,Bachelors Prepared,65185,28333,1,0.109747352,-0.644857163,0.27001798,3.9,3.9,3.73,4,3.85,4,0,0,0,0.02,6,3.9,8.4
47,0,0,4968,4968,28,GD Watson,39,Doctor of Philosophy,Female,1,47,Unknown,R96,Electrical Engineering,26568.15,Electrical Engineering PhD,0,50743.15,24175,1,0.079580753,-1.554411917,-0.256456652,4,4,4,4,4,4,0,0,0,0,6,4,6.4
48,0,0,0,0,45.3,GD Nursing,57,Doctor of Philosophy,Female,0,48,White,D99,Nursing,30255.95,Nursing PhD,0,30255.95,0,1,0.079580753,-1.554411917,-0.256456652,4,3.85,4,4,4,4,4,0,0,0.01,7,3.98,6
49,0,0,4968,4968,26,GD Watson,37,Doctor of Philosophy,Male,1,49,China,R92,Computer Science,29343.69,Computer Science PhD,0,41117.69,11774,1,0.105222362,-0.781290376,0.191046785,3.9,3.85,4,0,0,0,0,0,0,0.05,3,3.92,6
50,0,0,0,0,21.7,GD Harpur,37,Doctor of Philosophy,Male,0,50,White,C52,Sociology,32134.8,Harpur Doctor of Philosophy,Masters Prepared,32134.8,0,1,0.108641243,-0.678207504,0.25071391,3.67,3.78,4,3.93,3.87,4,0,0,1,0.05,6,3.87,5.7
51,0,0,0,4968,25.3,GD Grad School,37,Doctor of Philosophy,Male,1,51,China,H22,Material Sci and Eng-Engineerg,23910.25,Graduate School PhD,0,36810.25,12900,1,0.105976527,-0.758551507,0.204208651,3.67,4,4,0,0,0,0,0,1,0.16,3,3.89,4.3
52,0,0,0,4968,25.3,GD Watson,37,Doctor of Philosophy,Male,1,52,China,H22,Material Sci and Eng-Engineerg,23910.25,Graduate School PhD,0,36810.25,12900,1,0.105976527,-0.758551507,0.204208651,3.67,4,4,0,0,0,0,0,1,0.16,3,3.89,4.3
53,0,0,4968,4968,22,GD Watson,33,Doctor of Philosophy,Male,1,53,China,R96,Electrical Engineering,23691.1,Electrical Engineering PhD,0,58122.1,34431,1,0.10612736,-0.754003733,0.206841024,3.58,3.7,3.8,4,3.5,4,3.31,4,0,0.01,8,3.74,5.4
54,0,5166,5688,5688,32,GD Watson,41,Doctor of Philosophy,Male,1,54,Asia,R98,Mechanical Engineering,15127.3,Mechanical Engineering PhD,0,33824.3,18697,1,-2.44736481,1.697124472,0.060656589,3.9,4,3.33,3.7,0,0,0,0,0,-0.13,4,3.73,3.8
55,0,0,4968,4968,26,GD Harpur,37,Doctor of Philosophy,Male,1,55,China,C15,Chemistry,22454.7,Harpur Doctor of Philosophy,Bachelors Prepared,40784.7,18330,1,0.104996112,-0.788112036,0.187098225,4,3.94,4,4,0,0,0,0,1,0.01,4,3.98,4.4
56,3141,3141,2960,3330,23.7,GD Harpur,33,Doctor of Philosophy,Male,1,56,White,C23,English,11816.73,Harpur Doctor of Philosophy,Masters Prepared,25990.73,14174,1,0.105071529,-0.78583815,0.188414412,3.85,3.85,4,4,0,0,0,0,0,0.06,4,3.92,3.7
57,0,0,0,0,24.3,GD Watson,36,Doctor of Philosophy,Female,0,57,Hispanic or Latino,R96,Electrical Engineering,16983.35,Electrical Engineering PhD,0,16983.35,0,1,0.103450074,-0.834726718,0.1601164,4,4,4,4,0,0,0,0,0,0,4,4,5
58,0,0,4968,4968,27,GD Watson,38,Doctor of Philosophy,Male,1,58,China,R98,Mechanical Engineering,22863.1,Mechanical Engineering PhD,0,39803.1,16940,1,0.079580753,-1.554411917,-0.256456652,3.33,3.67,3.9,3.83,0,0,0,0,0,0.17,4,3.68,4.8
59,0,0,3141,3141,27,GD Harpur,38,Doctor of Philosophy,Male,1,59,White,C23,English,18587.99,Harpur Doctor of Philosophy,Masters Prepared,25609.99,7022,1,0.109521102,-0.651678823,0.26606942,4,3.85,4,4,0,0,0,0,0,0.01,4,3.96,3.4
60,0,0,3490,3490,27,GD Harpur,38,Doctor of Philosophy,Female,1,60,White,C29,History,17863.89,Harpur Doctor of Philosophy,Bachelors Prepared,32214.89,14351,1,0.106956941,-0.728990977,0.221319076,3.67,3.67,3.88,4,3.88,0,0,0,0,0.07,5,3.82,4.4
61,0,0,0,0,25.7,GD Watson,37,Doctor of Philosophy,Female,1,61,China,R87,Industrial and Systems Enginee,20358.45,Industrial and Systems Eng PhD,0,20358.45,0,1,0.079580753,-1.554411917,-0.256456652,0,0,0,0,0,0,0,0,0,0,0,0,2.2
62,0,0,4968,4968,25,GD Grad School,35,Doctor of Philosophy,Male,1,62,China,H21,Materials Science and Engineer,19713.25,Graduate School PhD,0,30797.25,11084,1,0.106353609,-0.747182073,0.210789584,0,0,0,0,0,0,0,0,0,0,0,0,1.8
63,0,0,0,4968,26.3,GD Watson,38,Doctor of Philosophy,Male,1,63,Asia,R98,Mechanical Engineering,22696.52,Mechanical Engineering PhD,0,29422.52,6726,1,0.079580753,-1.554411917,-0.256456652,3.9,3.5,2.7,3.5,0,0,0,0,0,-0.2,4,3.4,4
64,0,0,3141,3141,26,GD Harpur,37,Doctor of Philosophy,Male,1,64,White,C23,English,81497.14,Harpur Doctor of Philosophy,Bachelors Prepared,89217.14,7720,1,0.102507368,-0.863150304,0.143664068,3.85,4,3.85,4,0,0,0,0,0,0.03,4,3.92,3.4
65,0,0,4185,3141,22,GD Harpur,33,Doctor of Philosophy,Female,1,65,White,C47,Clinical Psychology,69161.5,Harpur Doctor of Philosophy,Bachelors Prepared,82769.5,13608,1,0.10740944,-0.715347656,0.229216196,3.73,4,3.84,3.1,3.25,3.74,4,4,0,0.02,8,3.71,6
66,0,0,4185,3141,26,GD Harpur,37,Doctor of Philosophy,Male,1,66,White,C22,Economics,17614.63,Harpur Doctor of Philosophy,Masters Prepared,32742.63,15128,1,0.079580753,-1.554411917,-0.256456652,3.26,3.53,3.23,3.85,3.85,4,0,0,0,0.15,6,3.62,5.8
67,0,0,0,0,33,GD Watson,44,Doctor of Philosophy,Male,0,67,Asia,R98,Mechanical Engineering,36983.5,Mechanical Engineering PhD,0,36983.5,0,1,0.107484857,-0.713073769,0.230532382,3.85,4,3.43,3.5,4,0,0,0,0,-0.02,5,3.76,3.4
68,0,0,4185,3141,22,GD Harpur,33,Doctor of Philosophy,Female,1,68,White,C47,Clinical Psychology,74985.52,Harpur Doctor of Philosophy,Bachelors Prepared,96033.52,21048,1,0.107560273,-0.710799882,0.231848569,3.55,3.53,3.39,3.18,3.9,3.83,4,4,0,0.09,8,3.67,6.8
69,3141,349,370,370,23,GD Harpur,34,Doctor of Philosophy,Male,1,69,White,C26,Geology,11725.45,Harpur Doctor of Philosophy,Bachelors Prepared,16735.45,5010,1,0.079580753,-1.554411917,-0.256456652,4,3.72,4,0,0,0,0,0,0,0,3,3.91,5.4
70,4077,4983,2038.5,2038.5,25,GD Nursing,29,Doctor of Philosophy,Male,1,70,Asian,D99,Nursing,78184,Nursing PhD,0,101279.11,23095.11,1,0.103437505,-0.835105699,0.159897036,3.9,3.65,3.91,3.67,4,4,0,0,0,0.04,6,3.85,3.8
71,0,0,3141,3141,36,GD Harpur,47,Doctor of Philosophy,Female,1,71,White,C37,Philosophy SPEL,97223.14,Harpur Doctor of Philosophy,Bachelors Prepared,116447.14,19224,1,0.109747352,-0.644857163,0.27001798,3.91,3.91,3.73,3.7,3.87,4,0,0,0,0.01,6,3.85,9
72,0,3141,3141,349,47,GD Grad School,57,Doctor of Philosophy,Female,1,72,White,H21,Materials Science and Engineer,7125.3,Graduate School PhD,0,15235.3,8110,1,0.109596519,-0.649404936,0.267385606,4,0,0,0,0,0,0,0,0,0,1,4,3.4
73,0,0,0,0,24.7,GD Watson,39,Doctor of Philosophy,Male,0,73,India,R87,Industrial and Systems Enginee,29758.29,Industrial and Systems Eng PhD,0,29758.29,0,1,0.108239022,-0.6903349,0.243694248,3.67,3.9,3.9,3.7,4,3,3.7,3.3,0,-0.07,8,3.65,10.2
74,0,0,4968,4968,25,GD Watson,36,Doctor of Philosophy,Male,1,74,China,R98,Mechanical Engineering,22863.02,Mechanical Engineering PhD,0,41193.02,18330,1,0.104468197,-0.804029245,0.177884919,3.67,4,3.7,4,4,0,0,0,0,0.07,5,3.87,4.8
75,0,0,6625,6625,30,GD Education,41,Doctor of Education,Female,1,75,China,E99,Educational Theory and Practic,28597.89,Education EDD,0,53443.89,24846,1,0.079580753,-1.554411917,-0.256456652,3.47,3.85,3.9,3.77,4,0,0,0,0,0.1,5,3.8,6
76,0,0,4968,4968,27,GD Harpur,38,Doctor of Philosophy,Male,1,76,South America,C46,Cognitive Psychology,25379.73,Harpur Doctor of Philosophy,Bachelors Prepared,54887.73,29508,1,0.079580753,-1.554411917,-0.256456652,3.77,3.86,3.83,3.9,4,4,0,0,0,0.05,6,3.89,5.4
77,0,0,4185,4185,27,GD Harpur,38,Doctor of Philosophy,Male,1,77,White,C43,Political Science,37724.59,Harpur Doctor of Philosophy,Masters Prepared,54160.59,16436,1,0.107711106,-0.706252109,0.234480942,4,4,4,4,4,0,0,0,0,0,5,4,3.8
78,3141,3330,3330,390,52,GD Harpur,63,Doctor of Philosophy,Female,1,78,American Indian or Alaskan Native,C01,Anthropology,48262.33,Harpur Doctor of Philosophy,Masters Prepared,58843.33,10581,1,0.079580753,-1.554411917,-0.256456652,3.51,3.6,3.88,3.66,4,0,0,0,1,0.1,5,3.73,6.4
79,0,0,4185,3141,23,GD Harpur,34,Doctor of Philosophy,Female,1,79,White,C47,Clinical Psychology,70629.9,Harpur Doctor of Philosophy,Bachelors Prepared,91677.9,21048,1,0.108540688,-0.681239353,0.248958994,4,3.64,4,3.93,4,3.8,4,4,0,0.02,8,3.92,6.8
80,0,0,0,0,29,GD Education,39,Doctor of Education,Male,0,80,White,E99,Educational Theory and Practic,13873.35,Education EDD,0,13873.35,0,1,0.108465271,-0.68351324,0.247642808,3.3,3,4,4,4,4,4,0,1,0.15,7,3.76,5
81,0,0,4968,4968,26,GD Harpur,37,Doctor of Philosophy,Male,1,81,Asia,C29,History,21828.62,Harpur Doctor of Philosophy,Masters Prepared,35566.62,13738,1,0.079580753,-1.554411917,-0.256456652,4,4,0,0,0,0,0,0,0,0,2,4,5
82,0,0,4968,4968,26,GD Watson,37,Doctor of Philosophy,Female,1,82,China,R98,Mechanical Engineering,21606.15,Mechanical Engineering PhD,0,39936.15,18330,1,0.079580753,-1.554411917,-0.256456652,2.9,3.5,3.85,3.92,0,0,0,0,0,0.34,4,3.54,5
83,0,0,4185,4185,23,GD Harpur,34,Doctor of Philosophy,Male,1,83,White,C33,Comparative Literature,55414.17,Harpur Doctor of Philosophy,Bachelors Prepared,78328.17,22914,1,0.108842354,-0.672143805,0.254223741,3.9,4,4,4,4,4,4,3.87,0,0,8,3.97,5.4
84,0,0,4185,4185,23,GD Harpur,34,Doctor of Philosophy,Male,1,84,White,C52,Sociology,18563.49,Harpur Doctor of Philosophy,Bachelors Prepared,39875.49,21312,1,0.079580753,-1.554411917,-0.256456652,4,4,3.9,4,0,0,0,0,0,-0.01,4,3.98,6.4
85,0,0,3490,3141,25,GD Harpur,36,Doctor of Philosophy,Male,1,85,White,C29,History,23166.69,Harpur Doctor of Philosophy,Masters Prepared,32015.69,8849,1,0.105938819,-0.75968845,0.203550557,4,3.9,3.88,4,0,0,0,0,0,0,4,3.94,4.8
86,0,0,4185,4185,23,GD Harpur,34,Doctor of Philosophy,Female,1,86,White,C52,Sociology,118695.25,Harpur Doctor of Philosophy,Bachelors Prepared,140913.25,22218,1,0.102205702,-0.872245851,0.138399322,3.8,3.47,3.33,4,0,0,0,0,0,0.05,4,3.65,8.8
87,0,0,3141,3141,24,GD Harpur,35,Doctor of Philosophy,Male,1,87,White,C46,Cognitive Psychology,47827.51,Harpur Doctor of Philosophy,Bachelors Prepared,68180.51,20353,1,0.109521102,-0.651678823,0.26606942,4,3.2,3.83,3.43,3.94,3.8,4,0,0,0.05,7,3.74,5
88,0,0,4968,4968,24,GD Watson,35,Doctor of Philosophy,Male,1,88,China,R96,Electrical Engineering,19381.5,Electrical Engineering PhD,0,31729.5,12348,1,0.079580753,-1.554411917,-0.256456652,4,3.9,3.85,4,0,0,0,0,0,-0.01,4,3.94,3.8
89,0,0,6625,4968,22,GD Harpur,33,Doctor of Philosophy,Female,1,89,India,C22,Economics,24770.22,Harpur Doctor of Philosophy,Masters Prepared,48654.22,23884,1,0.079580753,-1.554411917,-0.256456652,3.26,3.67,3.2,3.5,3.5,3.3,0,0,0,0,6,3.4,4.8
90,0,0,3141,3141,31,GD Harpur,42,Doctor of Philosophy,Female,1,90,Unknown,C23,English,78581.89,Harpur Doctor of Philosophy,Bachelors Prepared,97805.89,19224,1,0.108729229,-0.675554636,0.252249461,4,4,4,4,0,0,0,0,0,0,4,4,7.4
91,0,0,4968,4968,23,GD Watson,34,Doctor of Philosophy,Male,1,91,Asia,R98,Mechanical Engineering,28564.89,Mechanical Engineering PhD,0,70370.89,41806,1,0.108239022,-0.6903349,0.243694248,3.7,4,3.85,4,4,3.67,4,0,1,0.01,7,3.89,6.4
92,0,0,3141,3141,25,GD Harpur,36,Doctor of Philosophy,Female,1,92,Asian,C23,English,20456.1,Harpur Doctor of Philosophy,Bachelors Prepared,26738.1,6282,1,0.108465271,-0.68351324,0.247642808,3.85,4,3.5,3.85,0,0,0,0,0,-0.05,4,3.8,9
93,0,0,4968,4968,30,GD Watson,41,Doctor of Philosophy,Female,1,93,Asia,R93,Systems Science,20687.18,Systems Science PhD,0,33730.18,13043,1,0.105599444,-0.769920941,0.197627718,3.8,4,3.8,0,0,0,0,0,0,0,3,3.87,4
94,0,0,4185,3141,23,GD Harpur,34,Doctor of Philosophy,Female,1,94,White,C47,Clinical Psychology,28288.4,Harpur Doctor of Philosophy,Bachelors Prepared,51779.4,23491,1,0.107861939,-0.701704335,0.237113315,4,4,3.65,3.25,3.77,4,4,0,0,0,7,3.81,7
